Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
112,Ips calligraphus,1704,Bacteria,Bacillus thuringiensis,,,laboratory,,gut,culture collection,pathogenicity test; toxicity bioassay,"Cane et al., 1995",1995,full text,"Cane, J.H., Cox, H.E., Moar, W.J., 1995. Susceptibility of Ips calligraphus (Germar) and Dendroctonus frontalis (Zimmermann) (Coleoptera: Scolytidae) to coleopteran-active Bacillus thuringiensis, a Bacillus metabolite, and Avermectin B1. Can. Entomol. 127, 831–837."
113,Dendroctonus frontalis,479,Bacteria,Bacillus thuringiensis,,,laboratory,,gut,culture collection,pathogenicity test; toxicity bioassay,"Cane et al., 1995",1995,full text,"Cane, J.H., Cox, H.E., Moar, W.J., 1995. Susceptibility of Ips calligraphus (Germar) and Dendroctonus frontalis (Zimmermann) (Coleoptera: Scolytidae) to coleopteran-active Bacillus thuringiensis, a Bacillus metabolite, and Avermectin B1. Can. Entomol. 127, 831–837."
149,Scolytus multistriatus,1147,Bacteria,Serratia marcescens,,,,,pathogenicity test,pathogen,,"Doane, 1960",1960,full text,"Doane C.C. 1960. Bacterial Pathogens of Scolytus multistriatus Marsham as related to crowding. Journal of Insect Pathology 2, 24.29."
150,Scolytus multistriatus,1147,Bacteria,Aerobacter scolyti,,,,,pathogenicity test,pathogen,,"Doane, 1960",1960,full text,"Doane C.C. 1960. Bacterial Pathogens of Scolytus multistriatus Marsham as related to crowding. Journal of Insect Pathology 2, 24.29."
151,Scolytus multistriatus,1147,Bacteria,Escherichia klebsiellaeformis,,,,,pathogenicity test,pathogen,,"Doane, 1960",1960,full text,"Doane C.C. 1960. Bacterial Pathogens of Scolytus multistriatus Marsham as related to crowding. Journal of Insect Pathology 2, 24.29."
198,Ips subelongatus,10456,Bacteria,Bacillus thuringiensis var. insectus,,,,,,,pathogenicity test,"Gusteleva, 1982a",1982,only English abstract,"Gusteleva L.A. 1982a. Prospects for using microbial preparations against Ips subelongatus. Lesnoe Khozyaistvo 9, 67."
343,Dendroctonus micans,3927,Bacteria,Bacillus thuringiensis,,,,,,,,"Imnadze, 1978",1978,only English abstract,"Imnadze T.S. 1978. Characteristics of strains of Bacillus thuringiensis serotype I isolated from bark beetles in Georgia. Soobshcheniya Akademii Nauk Gruzinskoi SSR 92, 457-60. In: Review of Applied Entomology, Ser. A, Vol. 68, 1980, no. 2616, p. 328."
344,Ips typographus,1733,Bacteria,Bacillus thuringiensis,,,,,,,,"Imnadze, 1978",1978,only English abstract,"Imnadze T.S. 1978. Characteristics of strains of Bacillus thuringiensis serotype I isolated from bark beetles in Georgia. Soobshcheniya Akademii Nauk Gruzinskoi SSR 92, 457-60. In: Review of Applied Entomology, Ser. A, Vol. 68, 1980, no. 2616, p. 328."
348,Scolytus scolytus,1172,Bacteria,Bacillus thuringiensis,,,laboratory,,cuticular contact,culture collection,pathogenicity test,"Jassim et al., 1990",1990,full text,"Jassim H.K., H.A. Foster & C.P. Fairhurst 1990. Biological control of Dutch elm disease: Bacillus thuringiensis as a potential control agent for Scolytus scolytus and S. multistriatus. Journal of Applied Bacteriology 69, 563-68."
349,Scolytus multistriatus,1147,Bacteria,Bacillus thuringiensis,,,laboratory,,cuticular contact,culture collection,pathogenicity test,"Jassim et al., 1990",1990,full text,"Jassim H.K., H.A. Foster & C.P. Fairhurst 1990. Biological control of Dutch elm disease: Bacillus thuringiensis as a potential control agent for Scolytus scolytus and S. multistriatus. Journal of Applied Bacteriology 69, 563-68."
350,Ips calligraphus,1704,Bacteria,Serratia marcescens,United States,,,,,,,"Jouvenaz and Wilkinson, 1970",1970,full text,"Jouvenaz D.P. & R.C. Wilkinson 1970. Incidence of Serratia marcescens in Wild Ips calligraphus Populations in Florida. Journal of Invertebrate Pathology 16, 295-96."
485,Euwallacea interjectus,1966,Bacteria,Serratia marcescens,China,pathogen,laboratory,,,,pathogenicity test,"Liu et al., 2025",2025,full text,"Liu, J., Jiang, N., Gao, H., Lai, S., Zhou, Y., Hao, D., & Dai, L. (2025). Laboratory exploration of several potential biocontrol methods against the Ambrosia beetle, Euwallacea interjectus. Insects, 16(1), 56."
504,Pityokteines curvidens,1747,Bacteria,Serratia marcescens,,,,,,,,Lysenko 1959,1959,full text,"Lysenko, O. (1959). Report on diagnosis of bacteria isolated from insects (1954–1958). Entomophaga, 4(1), 15-22."
505,Trypodendron lineatum,1874,Bacteria,Pseudomonas septica,,,,,,,,Lysenko 1959,1959,full text,"Lysenko, O. (1959). Report on diagnosis of bacteria isolated from insects (1954–1958). Entomophaga, 4(1), 15-22."
592,Dendroctonus frontalis,479,Bacteria,Serratia marcescens,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
593,Dendroctonus frontalis,479,Bacteria,Pseudomonas aeruginosa,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
594,Dendroctonus frontalis,479,Bacteria,Bacillus thuringiensis var. thuringiensis,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
595,Dendroctonus frontalis,479,Bacteria,Flavobacterium sp.,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
596,Dendroctonus frontalis,479,Bacteria,Bacillus cereus,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
597,Dendroctonus frontalis,479,Bacteria,Pseudomonas fluorescens,United States,pathogen,,,,evaluation of pathogen from beetles,,Moore 1971,1971,full text,"Moore G.E. 1971. Mortality Factors Caused by Pathogenic Bacteria and Fungi of the Southern Pine Beetle in North Carolina. Journal of Invertebrate Pathology 17, 28-37."
605,Dendroctonus frontalis,479,Bacteria,Aerobacter aerogenes,United States,,,,,isolated from beetle,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
606,Dendroctonus frontalis,479,Bacteria,Alcaligenes faecalis,United States,,,,,isolated from beetle,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
607,Dendroctonus frontalis,479,Bacteria,Serratia marcescens,United States,,,,,isolated from beetle,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
608,Dendroctonus frontalis,479,Bacteria,Bacillus cereus,United States,,,,,isolated from beetle,,Moore 1972a,1972,full text,"Moore G.E. 1972. Microflora from the Alimentary Tract of Healthy Southern Pine Beetles, Dendroctonus frontalis (Scolytidae), and Their Possible Relationship to Pathogenicity. Journal of Invertebrate Pathology 19, 72-75."
615,Dendroctonus frontalis,479,Bacteria,Bacillus cereus,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
616,Dendroctonus frontalis,479,Bacteria,Bacillus thuringiensis var. thuringiensis,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
617,Dendroctonus frontalis,479,Bacteria,Bacillus thuringiensis var. kenyae,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
618,Dendroctonus frontalis,479,Bacteria,Pseudomonas aeruginosa,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
619,Dendroctonus frontalis,479,Bacteria,Pseudomonas fluorescens,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
620,Dendroctonus frontalis,479,Bacteria,Serratia marcescens,United States,,laboratory,,,isolated from infected beetle,pathogenicity test,"Moore, 1972b",1972,full text,"Moore, G.E., 1972. Pathogenicity of ten strains of bacteria to larvae of the southern pine beetle. J. Invertebr. Pathol. 20, 41–45."
629,Ips typographus,1733,Bacteria,Serratia liquifaciens,Turkey,pathogen? increased mortality relative to the control,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
630,Ips typographus,1733,Bacteria,Bacillus sphaericus,Turkey,,laboratory,morphological and molecular,,isolated from cadaver,pathogenicity test,"Muratoglu et al., 2011",2011,full text,"Muratoǧlu, H., Sezen, K., & Demirbaǧ, Z. (2011). Determination and pathogenicity of the bacterial flora associated with the spruce bark beetle, Ips typographus (L.)(Coleoptera: Curculionidae: Scolytinae). Turkish Journal of Biology, 35(1), 9-20."
