Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
1,Ips typographus,1733,Fungi,Beauveria bassiana,Romania,pathogen,laboratory,not stated,cuticular contact,laboratory cultivated,virulence test,"Andrei et al., 2013",2013,full text,"Andrei, A. M., Lupăştean, D., Ciornei, C., Fătu, A. C., & Dinu, M. M. (2013). Laboratory Beauveria bassiana (Bals.) Vuill. bioassays on spruce bark beetle (Ips typographus L.). IOBC/WPRS Bulletin, 90, 93-96."
6,Xyleborus glabratus,2093,Fungi,Beauveria bassiana,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
7,Xyleborus glabratus,2093,Fungi,Metarhizium brunneum,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
8,Xyleborus glabratus,2093,Fungi,Isaria fumosorosea,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
9,Xylosandrus crassiusculus,2182,Fungi,Beauveria bassiana,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
10,Xylosandrus crassiusculus,2182,Fungi,Metarhizium brunneum,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
11,Xylosandrus crassiusculus,2182,Fungi,Isaria fumosorosea,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
12,Xyleborus volvulus,2179,Fungi,Beauveria bassiana,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
13,Xyleborus volvulus,2179,Fungi,Metarhizium brunneum,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
14,Xyleborus volvulus,2179,Fungi,Isaria fumosorosea,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
15,Xyleborus bispinatus,3350,Fungi,Beauveria bassiana,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
16,Xyleborus bispinatus,3350,Fungi,Metarhizium brunneum,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
17,Xyleborus bispinatus,3350,Fungi,Isaria fumosorosea,,pathogen,laboratory,,undetermined,commercial strain,virulence test,"Avery et al., 2018",2018,full text,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
18,Scolytus multistriatus,1147,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
19,Scolytus ratzeburgi,1167,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
20,Scolytus scolytus,1172,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
21,Scolytus laevis,1142,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
22,Polygraphus poligraphus,3365,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
23,Hylurgops palliatus,409,Fungi,Beauveria bassiana,,,,,,,,"Balazy et al., 1967",1967,non full-text ,"Bałazy, S., Bargielski, J., Ziółkowski, G., & Czerwińska, C. (1967). Śmiertelność dorosłych chrząszczy kornika drukarza–Ips typographus (L.)(Col., Scolytidae) w żerowiskachijej przyczyny. Polskie Pismo Entomologiczne, 37(1), 201-205."
