Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
4,Dendroctonus frontalis,479,Microsporidia,Unikaryon minutum,United States,,,,,samples from traps,,"Atkinson and Wilkinson, 1979",1979,full text,"Atkinson, T.H., Wilkinson, R.C., 1979. Microsporidian and nematode incidence in live-trapped and reared southern pine beetle adults. Fla. Entomol. 62, 169–175."
82,Dendroctonus frontalis,479,Microsporidia,Unikaryon minutum,United States,parasite,,,,isolated from infected beetle,,"Bridges, 1987",1987,full text,"Bridges, J.R., 1987. Prevalence of Unikaryon minutum (Microsporidia: Nosematidae) infection in outbreak populations of the southern pine beetle (Coleoptera: Scolytidae). J. Invertebr. Pathol. 49, 334–335."
87,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Georgia,pathogen,,morphological,midgut epithelium,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
91,Ips typographus,1733,Microsporidia,Nosema sp.,Georgia,pathogen,,morphological,fat body,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
94,Ips typographus,1733,Microsporidia,Chytridiopsis typographi,Georgia,pathogen,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
95,Tomicus piniperda,521,Microsporidia,Chytridiopsis typographi,Georgia,pathogen,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
206,Ips typographus,1733,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
208,Hylastes cunicularius,5178,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
209,Hylastes cunicularius,5178,Microsporidia,unidentified microsporidia,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
212,Hylurgops glabratus,5192,Microsporidia,Chytridiopsis cf. typographi,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
