Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
2,Scolytus ventralis,1186,Nematode,Sulphuretylenchus elongatus,United States,parasite,field natural observation,not stated,cuticle integument,field collected natural observation,,"Ashraf and Berryman, 1970",1970,full text,"Ashraf, M., Berryman, A.A., 1970. Biology of Sulphuretylenchus elongatus (Nematoda: Spaerulariidae) and its effect on its host Scolytus ventralis (Coleoptera: Scolytidae). Can. Entomol. 102, 197–213."
3,Scolytus ventralis,1186,Nematode,Sulphuretylenchus elongatus,,parasite,field natural observation,not stated,cuticle integument,field collected natural observation,,"Ashraf, 1968",1968,only English abstract,"Ashraf, M., 1968. Biological studies of Scolytus ventralis Le Conte (Coleoptera: Scolytidae) with particular reference to nematode parasite Sulphuretylenchus elongatus Massey. Ph.D. thesis, Washington State University, Pullman."
5,Dendroctonus frontalis,479,Nematode,Contortylenchus brevicomi,United States,parasite,,,,samples from traps,,"Atkinson and Wilkinson, 1979",1979,full text,"Atkinson, T.H., Wilkinson, R.C., 1979. Microsporidian and nematode incidence in live-trapped and reared southern pine beetle adults. Fla. Entomol. 62, 169–175."
30,Ips acuminatus,1695,Nematode,Contortylenchus acuminati,Poland,associate,,,,,,"Balazy et al., 1987",1987,only English abstract,"Bałazy, S., Michalski, J., Ratajczak, E., 1987. Contribution to the knowledge of natural enemies of Ips acuminatus Gyll. (Coleoptera; Scolytidae). Polskie Pismo Entomologiczne 57, 735–745."
88,Ips typographus,1733,Nematode,Contortylenchus diplogaster,Georgia,parasite,,morphological,gut,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
89,Ips typographus,1733,Nematode,Parasitorhabditis sp.,Georgia,parasite,,morphological,gut,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
90,Ips typographus,1733,Nematode,Bursaphelenchus sp.,Georgia,parasite,,morphological,gut,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
97,Ips typographus,1733,Nematode,Contortylenchus diplogaster,Georgia,parasite,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
98,Ips sexdentatus,1728,Nematode,Contortylenchus pseudodiplogaster,Georgia,parasite,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
99,Ips typographus,1733,Nematode,Bursaphelenchus teratospicularis,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
100,Ips typographus,1733,Nematode,Parasitorhabditis bicoloris,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
101,Ips typographus,1733,Nematode,Parasitaphelenchus bicoloris,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
102,Ips typographus,1733,Nematode,Cryptaphelenchus bicoloris,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
103,Ips typographus,1733,Nematode,Panagrolaimus scheucherae,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
104,Ips typographus,1733,Nematode,Parasitorhabditis obtusa,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
105,Ips typographus,1733,Nematode,Ektaphelenchus typographi,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
106,Ips typographus,1733,Nematode,Cryptaphelenchus macrogaster,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
107,Ips typographus,1733,Nematode,Bursaphelenchus eidmani,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
108,Ips typographus,1733,Nematode,Micoletzkya buetschlii,Georgia,,,,,,,"Burjanadze et al., 2012",2012,full text,"Burjanadze, M., Lortkipanidze, M., Gorgadze, O., 2012. Influence of ecological factors on the formation of nematode fauna of bark beetles (Coleoptera Scolytidae). Bull. Georgian Natl. Acad. Sci 6, 133–136."
133,Ips paraconfusus,1718,Nematode,Parasitorhabditis sp.,United States,parasite,,,gut,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
134,Ips paraconfusus,1718,Nematode,Parasitaphelenchus sp.,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
135,Ips paraconfusus,1718,Nematode,Contortylenchus elongatus,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
136,Ips paraconfusus,1718,Nematode,Contortylenchus reversus,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
137,Ips paraconfusus,1718,Nematode,Contortylenchus brevicomi,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
138,Ips pini,1725,Nematode,Parasitaphelenchus sp.,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
139,Ips pini,1725,Nematode,Contortylenchus reversus,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
140,Ips pini,1725,Nematode,Contortylenchus sp1.,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
141,Ips pini,1725,Nematode,Contortylenchus sp2.,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
142,Ips pini,1725,Nematode,Parasitylenchus ovarius,United States,parasite,,,hemocoel,,,"Choo et al., 1987",1987,full text,"Choo, H.Y., Kaya, H.K., Shea, P., Noffsinger, E.M., 1987. Ecological study of nematode parasitism in Ips beetles from California and Idaho. J. Nematol. 19, 495–502."
181,Pityokteines curvidens,1747,Nematode,Tylenchus dispar curvidentis,Germany,,,,,,,"Fuchs, 1914a",1914,,"Fuchs, G., 1914a. Tylenchus dispar curvidentis m. und Tylenchus dispar cryphali m. Zool. Anz. 45, 195–207."
182,Cryphalus piceae,2218,Nematode,Tylenchus dispar cryphali,Germany,,,,,,,"Fuchs, 1914a",1914,,"Fuchs, G., 1914a. Tylenchus dispar curvidentis m. und Tylenchus dispar cryphali m. Zool. Anz. 45, 195–207."
183,Ips typographus,1733,Nematode,Tylenchus dispar curvidentis,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
184,Ips typographus,1733,Nematode,Tylenchus contortus typographi,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
185,Ips typographus,1733,Nematode,Rhabditis obtusa,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
186,Ips typographus,1733,Nematode,Diplogaster hütchlii,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
187,Ips typographus,1733,Nematode,Tylenchus major,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
188,Ips typographus,1733,Nematode,Tylenchus macrogaster,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
189,Ips typographus,1733,Nematode,Rhabditolaimus halleri,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
265,Ips avulsus,1698,Nematode,Parasitylenchus avulsi,United States,parasite,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
266,Ips calligraphus,1704,Nematode,Contortylenchus elongatus,United States,parasite,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
267,Ips calligraphus,1704,Nematode,Parasitaphelenchus sp.,United States,parasite,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
268,Ips grandicollis,1709,Nematode,Contortylenchus grandicolli,United States,parasite,,,,,,"Hoffard and Coster, 1976",1976,full text,"Hoffard, W.H., Coster, J.E., 1976. Endoparasitic nematodes of Ips Bark beetles in eastern Texas. Environ. Entomol. 5, 128–132."
309,Orthotomicus erosus,1708,Nematode,gut nematodes,Hungary,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
310,Orthotomicus erosus,1708,Nematode,hemolymph nematodes,Hungary,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
314,Orthotomicus laricis,1736,Nematode,Contortylenchus laricis,Czech Republic,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
315,Orthotomicus laricis,1736,Nematode,hemolymph nematodes,Czech Republic,,,,,,,"Holuša et al., 2017",2017,full text,"Holuša, J., Lukášová, K., Hubáčková, J., Knížek, M., & Wegensteiner, R. (2017). Pathogens and nematodes associated to three bark beetle species of the genus Orthotomicus (Coleoptera Curculionidae) in central-south Europe. Bulletin of Insectology, 70(2), 291-297."
