Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
86,Ips typographus,1733,Protist,Gregarina typographi,Georgia,pathogen,,morphological,mid-gut lumen,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
92,Ips typographus,1733,Protist,Gregarina typographi,Georgia,pathogen,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
93,Ips sexdentatus,1728,Protist,Gregarina typographi,Georgia,pathogen,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
96,Ips typographus,1733,Protist,Menzbieria sp.,Georgia,pathogen,,,,,,"Burjanadze et al., 2011",2011,only English abstract,"Burjanadze, M., Lortkipanidze, M., Supatashvili, A., Gorgadze, O., 2011. Occurrence of pathogens and nematodes of bark beetles (Coleoptera, Scolytidae) from coniferous forests in different region of Georgia. IOBC/wprs Bull. 66, 351–354."
190,Ips typographus,1733,Protist,Gregarina typographi,Germany,parasite,,,gut,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
191,Ips typographus,1733,Protist,Telosporidium typographi,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
192,Ips typographus,1733,Protist,Diplochis omnivorus,Germany,parasite,,,,,,"Fuchs, 1915",1915,,"Fuchs G. 1915. Die Naturgeschichte der Nematoden und einiger anderer Parasiten 1. des Ips typographus L. 2. des Hylobius abietis L. Zoologische Jahrbücher, Abteilung für Systematik 38, 109-222."
204,Ips typographus,1733,Protist,Malamoeba scolyti,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
205,Ips typographus,1733,Protist,Gregarina sp.,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
207,Hylastes cunicularius,5178,Protist,Gregarina sp.,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
