Records ID,Beetle Host,Beetle Host IDs,categories,pathogens,country or region,ecological relationship,experimental conditions,identification method,infection site,organism source,validation type,source,year,full text,title
85,Ips typographus,1733,Virus,ItEPV,Georgia,pathogen,,morphological,epithelial cells of the gut,isolated from living or slowly moving beetle,,"Burjanadze and Goginashvili, 2009",2009,full text,"Burjanadze, M., Goginashvili, N., 2009. Occurrence of pathogens and nematodes in the spruce bark beetle, Ips typographus (Col., Scolytidae) in Borjomi Gorge. Bull. Georgian Natl. Acad. Sci. 3, 145–150."
176,Dendroctonus armandi,8867,Virus,Entomopoxvirus,China,,,,,,,"Fan et al., 1988",1988,full text,"Fan, M.; C. Kuo & X. Lu 1988. Tentative study on entomopoxvirus of Dendroctonus armandi Tsai et Li. Journal Disinsectional Microorganism 1, 140-41."
193,Ips typographus,1733,Virus,ItEPV,,,,,,,,"Gasperl, 2002",2002,non full-text ,"Gasperl H. 2002. Grundlegende Erhebungen zum Borkenkäferauftreten an Fichten-Fangbäumen und zum Pathogenauftreten in Borkenkäfern aus dem geplanten Nationalpark Gesäuse. Diploma thesis, Universität für Bodenkultur Wien."
196,Ips typographus,1733,Virus,ItEPV,Turkey,,,,,,,"Gokturk et al., 2010",2010,non full-text ,"Gokturk, T., Burjanadze, M., Aksu, Y., Supatashvili, A., 2010. Nature enemies—predators, pathogens and parasitic nematodes of bark beetles in Hatila Valley National Park of Turkey. Proc. Georgian Acad. Sci., Biol. Ser. Bull. Am. Meteorol. Soc. 8, 59–71."
202,Ips typographus,1733,Virus,ItEPV,,,,,,,,"Haidler et al., 1998",1998,non full-text ,"Haidler B. 1998. Pathogene und Parasiten von ichtenborkenkäfern in einem Fichtenbestand am Achner Kogel bei Tamsweg. Diploma thesis, Formal- und Naturwissenschaftliche Fakultät der niversität Wien."
203,Ips typographus,1733,Virus,ItEPV,Austria,pathogen,,morphological,,evaluation of pathogen infections of all emerged beetles,,"Haidler et al., 2003",2003,full text,"Haidler, B.,Wegensteiner, R., Weiser, J., 2003. Occurrence of microsporidia and other pathogens in associated living spruce bark beetles (Coleoptera: Scolytidae) in an Austrian forest. IOBC/wprs Bull. 26, 257–260."
233,Ips amitinus,1696,Virus,similar to the ItEPV,,,,,,,,"Händel et al., 2001",2001,non full-text ,"Händel U., M. Kenis & R. Wegensteiner 2001. Untersuchungen zum Vorkommen von Pathogenen und Parasiten in Populationen überwinternder Fichtenborkenkäfer (Col., Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 13, 423-28."
234,Polygraphus poligraphus,3365,Virus,baculovirus-like particles,,,,,,,,"Händel et al., 2001",2001,non full-text ,"Händel U., M. Kenis & R. Wegensteiner 2001. Untersuchungen zum Vorkommen von Pathogenen und Parasiten in Populationen überwinternder Fichtenborkenkäfer (Col., Scolytidae). Mitteilungen der Deutschen Gesellschaft für allgemeine und angewandte Entomologie 13, 423-28."
235,Ips typographus,1733,Virus,ItEPV,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
248,Ips amitinus,1696,Virus,ItEPV,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
258,Polygraphus poligraphus,3365,Virus,Entomopoxvirus-like particles,Austria,pathogen,,,midgut epithelium,evaluation of pathogen infections of emerged beetles,,"Händel et al., 2003",2003,full text,"Händel, U., Wegensteiner, R., Weiser, J., & Zizka, Z. (2003). Occurrence of pathogens in associated living bark beetles (Col., Scolytidae) from different spruce stands in Austria. Anzeiger für Schädlingskunde= Journal of pest science, 76(1), 22-32."
300,Ips amitinus,1696,Virus,ItEPV,Austria,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
305,Ips amitinus,1696,Virus,ItEPV,Finland,occurrence survey,,,,,,"Holuša et al., 2016",2016,full text,"Holuša, J., Lukášová, K., Žižka, Z., Händel, U., Haidler, B., & Wegensteiner, R. (2016). Occurrence of Microsporidium sp. and other pathogens in Ips amitinus (Coleoptera: Curculionidae). Acta Parasitologica, 61(3), 621-628."
419,Dendroctonus ponderosae,484,Virus,Gemycircularvirus sp.,United States,occurrence survey,,,,,,"Kraberger et al., 2018",2018,full text,"Kraberger, S., Hofstetter, R. W., Potter, K. A., & Varsani, A. (2018). Genomoviruses associated with mountain and western pine beetles. Virus research, 256, 17-20."
420,Dendroctonus ponderosae,484,Virus,Gemykibivirus sp.,United States,occurrence survey,,,,,,"Kraberger et al., 2018",2018,full text,"Kraberger, S., Hofstetter, R. W., Potter, K. A., & Varsani, A. (2018). Genomoviruses associated with mountain and western pine beetles. Virus research, 256, 17-20."
492,Ips typographus,1733,Virus,ItEPV,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
498,Ips amitinus,1696,Virus,ItEPV,Czech Republic,pathogen,,,,evaluation of pathogen from beetles,,"Lukasova et al., 2013",2013,full text,"Lukášová, K., Holuša, J., & Turčáni, M. (2013). Pathogens of Ips amitinus: new species and comparison with I ps typographus. Journal of Applied Entomology, 137(3), 188-196."
500,Ips typographus,1733,Virus,ItEPV,Czech Republic,,,morphological,,evaluation of pathogen from beetles,,"Lukášová and Holuša, 2015",2015,full text,"Lukášová, K., & Holuša, J. (2015). Comparison of pathogens infection level in Ips typographus (Coleoptera: Curculionidae) beetles sampled in pheromone traps and at place of overwintering. Acta Parasitologica, 60(3), 462-465."
668,Ips typographus,1733,Virus,ItEPV,Bulgaria,,,,,,,"Pilarska et al., 2018",2018,full text,"Pilarska, D., Georgiev, G., Dobreva, M., Takov, D., Mirchev, P., Doychev, D., ... & Hajek, A. E. (2018). Pathogens and parasitoids of forest pest insects in the region of Forest Protection Station Plovdiv during the period 1990–2017. Silva, 19, 3."
678,Ips typographus,1733,Virus,ItEPV,,,,,,,,"Pultar and Weiser, 1999",1999,non full-text ,Pultar O. & J. Weiser 1999. Infection of Ips typographus with entomopoxvirus in the forest. Poster at 7th IOBC/wprs meeting in Vienna.
726,Dendroctonus frontalis,479,Virus,Flacherie virus ,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
727,Dendroctonus frontalis,479,Virus,Enteroviruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
728,Dendroctonus frontalis,479,Virus,Cardioviruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
729,Dendroctonus frontalis,479,Virus,Rhinoviruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
730,Dendroctonus frontalis,479,Virus,Aphthoviruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
731,Dendroctonus frontalis,479,Virus,Bunyaviruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
732,Dendroctonus frontalis,479,Virus,"Baculovirus, nuclear polyhedrosis viruses",United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
733,Dendroctonus frontalis,479,Virus,"Baculovirus, granulosis viruses",United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
734,Dendroctonus frontalis,479,Virus,"Baculovirus, nonoccluded rod-shaped nuclear viruses",United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
735,Dendroctonus frontalis,479,Virus,Unknown small RNA viruses,United States,,,morphological,,isolated from infected beetle,,Sikorowski et al. 1996,1996,full text,"Sikorowski P.P., A.M. Lawrence, T.E. Nebeker & T.S. Price 1996. Virus and Virus-like Particles Found in Southern Pine Beetle Adults in Mississippi and Georgia. Mississippi Agricultural & Forestry Experiment Station Technical Bulletin 212, 1-9."
744,Ips typographus,1733,Virus,,Finland,viral diversity survey; high-throughput sequencing of total RNA,,molecular,,evaluation of viral diversity from beetles,,"Sutela et al., 2024",2024,full text,"Sutela, S., Siitonen, J., Ylioja, T., & Vainio, E. J. (2024). Viral diversity in the European spruce bark beetle Ips typographus as revealed through high-throughput sequencing. Crop Protection, 181, 106706."
748,Ips typographus,1733,Virus,ItEPV,Bulgaria,,,,,,,"Takov and Pilarska, 2009",2009,full text,"Takov, D., & Pilarska, D. (2009). Single and mixed infections in Ips typographus (Coleoptera: Scolytinae) caused by the entomopathogens Entomopoxvirus typographi (Virales), Gregarina typographi (Sporozoa) and Chytridiopsis typographi (Microsporidia). Acta Zool Bulg, 61(1), 45-48."
751,Ips typographus,1733,Virus,ItEPV,Bulgaria,pathogen,,morphological,,isolated from beetle,,"Takov et al., 2006",2006,full text,"Takov, D., Pilarska, D., & Wegensteiner, R. (2006). Entomopathogens in Ips typographus (Coleoptera: Scolytidae) from several spruce stands in Bulgaria. Acta zoologica bulgarica, 58(3), 409-420."
758,Ips typographus,1733,Virus,ItEPV,Bulgaria,,,,,isolated from beetle,,"Takov et al., 2007",2007,full text,"Takov, D., Doychev, D., Wegensteiner, R., Pilarska, D., 2007. Study of bark beetle (Coleoptera, Scolytidae) pathogens from coniferous stands in Bulgaria. Acta Zool. Bulg. 59, 87–96."
815,Ips typographus,1733,Virus,ItEPV,Bulgaria,,,morphological,,,,"Takov et al., 2012",2012,full text,"Takov, D. I., Doychev, D. D., Linde, A., Atanasova Draganova, S., & Kirilova Pilarska, D. (2012). Pathogens of bark beetles (Curculionidae: Scolytinae) and other beetles in Bulgaria. Biologia, 67(5), 966-972."
819,Dendroctonus armandi,8867,Virus,Entomopoxvirus,,,,,,,,"Tang and Sun, 1990",1990,only English abstract,"Tang X. & M. Fan 1990. Study on DNA and polypeptides of a smallpox virus in Dendroctonus armandi Tsai et Li. Microbiology of Insects Beijing 17, 258-61."
853,Ips typographus,1733,Virus,Entomopoxvirus,,,,,,,,"Tonka and Weiser, 2009",2009,non full text,"Tonka, T., Weiser, J., & Pultar, O. (2009). Entomopoxvirus in the spruce bark beetle, Ips typograhus and its laboratory management. IUFRO WG, 7(10)."
854,Ips typographus,1733,Virus,ItEPV,,,,,,isolated from infected beetle,infection test; virus occlusion bodies were never found in larvae or any other preadult stage during the experiments,Tonka et al. 2007,2007,full text,"Tonka, T., Pultar, O., & Weiser, J. (2007). Survival of the spruce bark beetle, Ips typographus, infected with pathogens or parasites. IOBC WPRS BULLETIN, 30(1), 211-215."
865,Ips typographus,1733,Virus,ItEPV,Austria,,,,,,,"Wegensteiner and Weiser, 1995",1995,full text,"Wegensteiner R. & J. Weiser 1995. A new Entomopoxvirus in the bark beetle Ips typographus (Coleoptera: Scolytidae). Journal of Invertebrate Pathology 65, 203-05."
866,Ips typographus,1733,Virus,ItEPV,Germany,,,,,,,"Wegensteiner and Weiser, 1996a",1996,full text,"Wegensteiner R. & J. Weiser 1996a. Untersuchungen zum Auftreten von Pathogenen bei Ips typographus (Coleoptera, Scolytidae) aus einem Naturschutzgebiet im Schwarzwald (Baden-Württemberg). Anzeiger für Schädlingskunde, Pflanzenschutz, Umweltschutz 69, 162-67."
883,Ips typographus,1733,Virus,Entomopoxvirus,Austria,,,,,evaluation of pathogen from beetles,,"Wegensteiner et al., 1996",1996,full text,"Wegensteiner R., J. Weiser & E. Führer 1996. Observations on the occurrence of pathogens in the bark beetle Ips typographus L. (Coleoptera, Scolytidae). Journal of Applied Entomology 120, 199-204."
892,Ips typographus,1733,Virus,ItEPV,Austria,pathogen; occurrence survey,,,,,,"Wegensteiner et al., 2014",2014,full text,"Wegensteiner, R., Stradner, A., & Händel, U. (2014). Occurrence of pathogens in Ips typographus (Coleoptera: Curculionidae) and in other spruce bark beetles from the wilderness reserve Dürrenstein (Lower Austria). Biologia, 69(1), 92-100."
909,Ips typographus,1733,Virus,ItEPV,Austria,pathogen; occurrence survey,,morphological,,,,"Wegensteiner et al., 2015",2015,full text,"Wegensteiner, R., Tkaczuk, C., Bałazy, S., Griesser, S., Rouffaud, M. A., Stradner, A., ... & Papierok, B. (2015). Occurrence of pathogens in populations of Ips typographus, Ips sexdentatus (Coleoptera, Curculionidae, Scolytinae) and Hylobius spp.(Coleoptera, Curculionidae, Curculioninae) from Austria, Poland and France. Acta Protozoologica, 54(3)."
910,Ips typographus,1733,Virus,ItEPV,France,pathogen; occurrence survey,,morphological,,,,"Wegensteiner et al., 2015",2015,full text,"Wegensteiner, R., Tkaczuk, C., Bałazy, S., Griesser, S., Rouffaud, M. A., Stradner, A., ... & Papierok, B. (2015). Occurrence of pathogens in populations of Ips typographus, Ips sexdentatus (Coleoptera, Curculionidae, Scolytinae) and Hylobius spp.(Coleoptera, Curculionidae, Curculioninae) from Austria, Poland and France. Acta Protozoologica, 54(3)."
938,Ips typographus,1733,Virus,Entomopoxvirus group A,,,,,midgut,,,"Weiser and Wegensteiner, 1994",1994,only English abstract,"Weiser, J., Wegensteiner, R., 1994. A new entomopoxvirus in the bark beetle Ips typographus (Coleoptera, Scolytidae) in Czechoslovakia. Z. Angew. Zool. 80, 425–434."
978,Ips typographus,1733,Virus,ItEPV,Turkey,association report,,,,,,"Yaman and Baki, 2011",2011,full text,"Yaman, M., & Baki, H. (2011). First Record of Entomopoxvirus of Ips typographus (Linnaeus)(Coleoptera: Curculionidae, Scolytinae) for Turkey. Acta zool. bulg, 63, 199-202."
1015,Ips typographus,1733,Virus,ItEPV,,,,,,,,"Žižka et al., 2001",2001,non full text,"Žižka, Z., Weiser, J., & Wegensteiner, R. (2001). Ultrastructure of the Entomopoxvirus Ab in the bark beetle Ips typographus. In 3rd Conference on Cell Biology, Kopp Publ., České Budějovice (pp. 214-215)."
