Reference No.,Citation
1,A new record of Beauveria isolated from Scolytidae in China
2,A preliminary report on the virulence of Beauveria bassiana against Phloeosinus sinensis and three other insect pests
3,"Andrei, A. M., Lupăştean, D., Ciornei, C., Fătu, A. C., & Dinu, M. M. (2013). Laboratory Beauveria bassiana (Bals.) Vuill. bioassays on spruce bark beetle (Ips typographus L.). IOBC/WPRS Bulletin, 90, 93-96."
4,Application of entomopathogenic fungi in the integrated management of Tomicus piniperda
5,"Ashraf, M., 1968. Biological studies of Scolytus ventralis Le Conte (Coleoptera: Scolytidae) with particular reference to nematode parasite Sulphuretylenchus elongatus Massey. Ph.D. thesis, Washington State University, Pullman."
6,"Ashraf, M., Berryman, A.A., 1970. Biology of Sulphuretylenchus elongatus (Nematoda: Spaerulariidae) and its effect on its host Scolytus ventralis (Coleoptera: Scolytidae). Can. Entomol. 102, 197–213."
7,"Atkinson, T.H., Wilkinson, R.C., 1979. Microsporidian and nematode incidence in live-trapped and reared southern pine beetle adults. Fla. Entomol. 62, 169–175."
8,"Avery, P. B., Bojorque, V., Gámez, C., Duncan, R. E., Carrillo, D., & Cave, R. D. (2018). Spore acquisition and survival of ambrosia beetles associated with the laurel wilt pathogen in avocados after exposure to entomopathogenic fungi. Insects, 9(2), 49."
9,"Barson, G., 1976. Laboratory studies on the fungus Verticillium lecanii, a larval pathogen of the large elm bark beetle (Scolytus scolytus). Ann. Appl. Biol. 83, 207–214."
10,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). Hypocrealean fungi associated with populations of Ips typographus in West Carpathians and selection of local Beauveria strains for effective bark beetle control. Biologia, 73(1), 53-65."
11,"Barta, M., Kautmanová, I., Čičková, H., Ferenčík, J., Florián, Š., Novotný, J., & Kozánek, M. (2018). The potential of Beauveria bassiana inoculum formulated into a polymeric matrix for a microbial control of spruce bark beetle. Biocontrol Science and Technology, 28(7), 718-735."
12,"Barta, M., Takov, D., Pilarska, D., Doychev, D., & Horáková, M. K. (2020). Entomopathogenic fungi of the genus Beauveria and their pathogenicity to Ips typographus (Coleoptera: Curculionidae) in the Vitosha National Park, Bulgaria. Journal of Forest Science, 66(10), 420."
13,"Bałazy, S., 1962. Observations on appearing of some entomogenous fungi of fungi imperfecti group of forest insects. Polskie Pismo Entomologiczne, 149–164, Ser. B, 3–4."
